latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime
56.4024,61.1211,306.5,2.1,1.4,2001-04-24,06:40,Terra,MODIS,64,6.03,288.9,21.5,D,0,M-C61,archive,2001-04-24 06:40:00
56.4006,61.1552,302.8,2.1,1.4,2001-04-24,06:40,Terra,MODIS,54,6.03,287.5,15.1,D,0,M-C61,archive,2001-04-24 06:40:00
56.4023,61.1152,302.2,2.1,1.4,2001-04-24,06:40,Terra,MODIS,51,6.03,288.7,13.6,D,0,M-C61,archive,2001-04-24 06:40:00
56.4003,61.1493,306.4,2.1,1.4,2001-04-24,06:40,Terra,MODIS,64,6.03,287.8,21.0,D,0,M-C61,archive,2001-04-24 06:40:00
56.2159,61.0075,308.5,2.1,1.4,2001-04-24,06:40,Terra,MODIS,67,6.03,291.1,19.6,D,0,M-C61,archive,2001-04-24 06:40:00
56.2162,61.0019,306.4,2.1,1.4,2001-04-24,06:40,Terra,MODIS,63,6.03,291.2,17.1,D,0,M-C61,archive,2001-04-24 06:40:00
56.0788,60.9371,305.9,2.1,1.4,2001-04-24,06:40,Terra,MODIS,59,6.03,292.7,14.0,D,0,M-C61,archive,2001-04-24 06:40:00
55.753,61.6804,308.2,1.9,1.4,2001-04-24,06:41,Terra,MODIS,58,6.03,293.7,13.3,D,0,M-C61,archive,2001-04-24 06:41:00
55.555,61.5681,308.0,2.0,1.4,2001-04-24,06:41,Terra,MODIS,52,6.03,294.1,12.6,D,0,M-C61,archive,2001-04-24 06:41:00
55.5531,61.5995,327.4,1.9,1.4,2001-04-24,06:41,Terra,MODIS,85,6.03,295.5,58.4,D,0,M-C61,archive,2001-04-24 06:41:00
55.5505,61.5918,330.6,1.9,1.4,2001-04-24,06:41,Terra,MODIS,87,6.03,295.4,69.3,D,0,M-C61,archive,2001-04-24 06:41:00
55.4259,61.3423,309.1,2.0,1.4,2001-04-24,06:41,Terra,MODIS,51,6.03,292.2,14.8,D,0,M-C61,archive,2001-04-24 06:41:00
55.4164,60.8427,309.0,2.1,1.4,2001-04-24,06:41,Terra,MODIS,68,6.03,294.0,14.4,D,0,M-C61,archive,2001-04-24 06:41:00
55.4037,60.8407,311.6,2.1,1.4,2001-04-24,06:41,Terra,MODIS,71,6.03,293.5,20.5,D,0,M-C61,archive,2001-04-24 06:41:00
56.0022,61.5371,305.3,2.7,1.6,2001-04-24,08:18,Terra,MODIS,61,6.03,291.7,20.5,D,0,M-C61,archive,2001-04-24 08:18:00
55.999,61.5297,304.8,2.7,1.6,2001-04-24,08:18,Terra,MODIS,60,6.03,291.3,18.9,D,0,M-C61,archive,2001-04-24 08:18:00
56.0832,60.9398,304.0,2.5,1.5,2001-04-24,08:18,Terra,MODIS,50,6.03,292.6,15.7,D,0,M-C61,archive,2001-04-24 08:18:00
55.8358,61.5236,313.1,2.8,1.6,2001-04-24,08:18,Terra,MODIS,0,6.03,292.7,43.3,D,0,M-C61,archive,2001-04-24 08:18:00
